,topic,model_name,summ_sent,sent_label,exp,type,category
1301,Budget Performance,model_A,The summary suggests that the citywide budget performance was below expectations due to unforeseen expenses and revenue shortfalls.,no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1302,Budget Performance,model_A,The report proposes implementing better budgeting techniques and tracking mechanisms to avoid future budget deficits.,no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1303,Budget Performance,model_B,The document discusses the budget performance for the fiscal year 2016 citywide.,no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1307,Budget Performance,model_C,The provided document is a report on the fiscal year 2016 year-end budget performance for the City of Long Beach.,no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1308,Budget Performance,model_C,It includes recommendations for budget performance and identifies areas where adjustments can be made to improve budget performance in the future.,no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1309,Budget Performance,model_D,"The document provides a report on the budget performance for the fiscal year 2016, including revenue and expenditure information for various city departments.",no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1310,Budget Performance,model_D,It also includes recommendations for future budget planning.,no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1311,Budget Performance,model_E,"According to the fiscal year 2016 year-end budget performance report, the City of Long Beach overall performed within budget in most areas, with a few exceptions.",no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1312,Budget Performance,model_E,The report provides a summary of the city's financial performance and identifies areas for improvement.,no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1313,Year-End Report,model_A,"The report highlights the City's overall performance for the 2016 fiscal year, including revenue, expenses, and fund balance.",no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
1314,Year-End Report,model_A,The City exceeded its revenue projections by 4.7% and its expenses by 1.8%.,no,No percentages for revenue and expenses are detailed in the text,Extrinsic Information,marginal
1315,Year-End Report,model_A,"The report also notes areas where the City can improve, such as reducing expenses in the areas of public safety and information technology.",no,Public safety and information technology are not mentioned in the text,Extrinsic Information,marginal
1318,Year-End Report,model_B,The document is a report on the City of Long Beach's fiscal year 2016 year-end budget performance.,no,"The document itself is not the report, but a conversation.",Nuanced Meaning Shift,marginal
1319,Year-End Report,model_B,"It provides information on revenues, expenditures, and fund balances, as well as comparisons to previous years and budget projections.",no,Contents of report are not specified in the text.,Extrinsic Information,marginal
1320,Year-End Report,model_C,"The provided document is a year-end budget performance report for the City of Long Beach, focusing on the fiscal year 2016.",no,"1.The document is focusing on the fiscal year 2016. It is only briefly mentioned in the last sentence of the document.
2. The document itself is not the report, but a conversation.","Extrinsic Information, Nuanced Meaning Shift",marginal
1325,Year-End Report,model_E,"The fiscal year 2016 year-end budget performance report for the City of Long Beach shows that overall, the city received a positive variance of 4.7% from the original budget.",no,The document does not show any content of the report. The report is only briefly mentioned in the last sentence.,Extrinsic Information,marginal
1326,Year-End Report,model_E,The report highlights areas of improvement and identifies areas for future focus.,no,Improvement and future focus are not mentioned in the text,Extrinsic Information,marginal
1327,Fiscal Year 2016,model_A,The document discusses a report on the fiscal year 2016 budget performance citywide.,no,The document mentions a report received for the fiscal year 2016 but does not discuss it.,Nuanced Meaning Shift,marginal
1328,Fiscal Year 2016,model_B,"The report presents the financial performance of the City of Long Beach for the Fiscal Year 2016, including revenue and expenditure data, and compares actual results to budget projections.",no,"There is no information in the document about what data the report presents. It is only mentioned that is it is ""a report from financial management recommendations.""",Extrinsic Information,marginal
1329,Fiscal Year 2016,model_C,"The report provides a summary of the fiscal year 2016 budget performance for the City of Long Beach, including revenue and expense trends, budget variances, and recommendations for future budget management.",no,"The document does not say what exactly the report provides. It is only mentioned that this report is ""from financial management recommendations received for the fiscal year 2016 year end budget performance report citywide.""",Extrinsic Information,marginal
1331,Fiscal Year 2016,model_D,"The report includes recommendations for improving financial management practices and reducing expenses.""",no,The document mentions the report but does not provide additional information about it.,Extrinsic Information,marginal
1340,Sales tax collection trends,Model-Extra,Online retail and fuel sales may slow growth.,no,The speakers are not certain if online retail sales are to slow revenue or boost.,Tense/Modality Error,main
1358,Industry performance,model_A,"The top industries performing well were business and industry, restaurants, and consumer goods.",no,"It is the opinion of Speaker 5, and not a fact, that the top industries performing well were business and industry, restaurants, and consumer goods.",Stating Opinion as Fact,main
1369,Industry performance,Model-Extra,Fuel sales declined due to lower gas prices.,no,"The text mentions that fuel sales declined, but that it is due to ""what happens in the fracking industry and as the prices go up and down per barrel.""",Nuanced Meaning Shift,main
1370,Industry performance,Model-Extra,The city's sales tax rate of 9% remains below nearby cities.,no,"Countywide tax rate is 9%, not the city.",Nuanced Meaning Shift,main
1377,Industry performance,model_E,"The concern is that fuel prices may decrease due to a strike at Tesoro, which could impact the industry's performance in the next year.",no,"The text mentions that fuel prices have increased, not decreased, due to a strike at Tersoro as well as uncertainty in the fracking industry.",Contradiction,main
1382,Concerns over fuel prices,Model-Extra,The finance director expressed concern over fuel prices affecting sales tax revenue.,no,"There is no mention in the document that Speaker 5, who presents the report, is a finance director. He is said to be ""in the finance department"", but no job title is provided.",Extrinsic Information,main
1383,Concerns over fuel prices,Model-Extra,Tesoro recently increased gas prices $0.30/gallon.,no,"According to the document, prices increased because of Tesoro's strike. It is not said that Tesoro itself increased fuel prices.",Reasoning Error,main
1388,Concerns over fuel prices,model_D,"The speaker expresses concern over potential losses in fuel sales due to fluctuating prices, citing a recent strike at a local refinery and the impact of fracking on per-barrel costs.",no,"There is not enough information in the document to infer that Tesoro is a ""local refinery.""",Extrinsic Information,main
1403,Destruction of Internal Affairs Division records,model_D,"This means that items 22, 340, and 567 will be approved.",no,"Does not necessarily mean items 22, 340 and 567 will be approved",Reasoning Error,main
1409,Lack of access to paperwork and documentation,Model-Extra,"Records are being destroyed, making it difficult to file complaints or requests.",no,These are accusations and not definitively true.,Stating Opinion as Fact,main
1434,Property Development,model_A,"The council approved a development agreement for a property at 127-135 East Broadway, and a motion was made to move forward with entitlements for another property at 110 Pine Ave.",no,"There is no mention of ""110 Pine Ave"" address in the document.",Extrinsic Information,main
1437,Property Development,model_B,"The property was previously owned by Dean Patino, who made a significant profit on the property.",no,"The document says that Mr. Dean had a property a few years ago, and it is not the same property that Raintree Partners is going to develop.",Mis-Referencing,main
1438,Property Development,model_B,The city council approved the development with a motion carried by Councilmember Pearce.,no,"It is unclear from the document that the motion is carried by Councilmember Pearce. It seems that Councilmember Pearce corresponds to Speaker 3, and ""Motion carriers"" is reported by Speaker 6.",Nuanced Meaning Shift,main
1439,Property Development,model_B,"The development is expected to bring 400 units to the downtown area and includes features such as an alleyway mural and connecting the promenade to areas that typically don't get connected, including the arts.",no,"The document does not say explicitly that the development includes all of these features. They are said to be required for a ""project like this"", and Speaker 3 was looking at them and talked about them with Raintree, but this does not mean that all of them will actually be part of the project.",Nuanced Meaning Shift,main
1445,Property Development,model_C,"The first project involves the construction of a parking lot, while the second project involves the development of two residential buildings in the downtown area.",no,There is no information in the document about what exactly each of the projects will build.,Extrinsic Information,main
1448,Property Development,model_D,"The second proposal concerns a property on Ocean Boulevard and Broadway, which has been available to the city, economists, and council members.",no,"There is no mention of ""Ocean Boulevard and Broadway"" in the document.",Extrinsic Information,main
1454,Council Meeting,model_A,"There is also discussion on a previous property acquisition by the same company, with some council members expressing concern over the price and the company's past record.",no,"It is not clear from the source that the property acquisition was by the same company. The speaker refers to ""Mr. Dean"" who acquired the property as a reduced price.",Extrinsic Information,main
1458,Council Meeting,model_C,"During the Long Beach City Council meeting, a motion to approve the third-party economic analysis of a development project by Raintree was passed.",no,"Per source document the motion was not ""to approve the third-party economic analysis"", but to ""reduction in the price of a $1.3 million"" and economic analysis of our third party consultant was to make sure that reduction was justified.",Nuanced Meaning Shift,main
1459,Council Meeting,model_C,Councilmember Pearce expressed concerns about the company's past record and the high price required for the project.,no,"It was Mr. Wood who expressed concerns about the company's past record, not Councilman Pearce.",Mis-Referencing,main
1460,Council Meeting,model_C,The speaker also criticized the city's previous decisions to give away property.,no,"The speaker who criticized city's previous decisions to give away property was Mr. Wood, not Pearce.",Mis-Referencing,main
1467,Council Meeting,Model-Extra,Raintree offered price reductions of $1.3 million for each property.,no,"It is not clear from the context of the source whether the reduction in price in the amount of ""$1.3 million"" is for ""each property"", as it is not mentioned. It is more probably that this is a total amount of the reduction.",Reasoning Error,main
1470,Council Meeting,model_E,"During a council meeting, the motion to approve the sale of a property by Raintree was carried.",no,"The property that is for sale is not owned by Raintree, but Raintree is seeking to acquire it and develop two projects.",Nuanced Meaning Shift,main
1474,Economic Analysis,model_A,"The document discusses the motion for a third-party consultant's economic analysis of two real estate properties in downtown Long Beach, California.",no,There is consultant's economic analysis on the property at 127-135 East Broadway. It is not clear that if there is the same analysis for another property.,Nuanced Meaning Shift,main
1480,Economic Analysis,model_B,The project includes two buildings with a total of 400 units and is expected to be completed within the next few months.,no,"It is not clear from the text that it is two buildings specifically (the text refers to two projects, which could be multiple buildings within a project). The text also doesn't say that this would happen in the next few months .",Extrinsic Information,main
1488,Economic Analysis,model_E,"The document discusses an economic analysis of a proposed mixed-use development project in Long Beach, California.",no,"The text doesn't say anything about ""mixed-use""",Extrinsic Information,main
1489,Economic Analysis,model_E,"It includes information on the project's cost, financing plan, and potential economic benefits.",no,The contents of the analysis are not specified in the text,Extrinsic Information,main
1499,Seattle Fire Code,model_D,The Seattle Fire Code is updated every three years and was last updated in 2016.,no,"The fire code is typically updated every three years, but this did not seem to happen last time due to a public health crisis, making this sentence somewhat inaccurate without the modifier.",Contradiction,main
1540,Updates to Development Standards,model_C,This amendment adds in a missing page regarding fuel tank storage.,no,The amendment regarding the missing page is separate from the motion to make amendments to the fire code.,Nuanced Meaning Shift,main
1550,Water Conservation Measures,model_B,"The city is taking measures to meet new water conservation requirements, including water-efficient irrigation systems, leak detection and repair programs, and public education campaigns.",no,"From the source document, it is unclear what measures the city is taking to meet the new water conservation requirements, so ""water-efficient irrigation systems, leak detection and repair programs, and public education campaigns"" are not grounded in the source.",Extrinsic Information,marginal
1552,Water Conservation Measures,model_C,The document discusses a request to the city manager to report back on the measures being taken to meet new water conservation requirements.,no,The document only briefly mentions this in the last sentence but there is no discussion of it.,Nuanced Meaning Shift,marginal
1555,Water Conservation Measures,Model-Extra,"The water department will report on current and future actions, goals, and budgets to reduce usage, increase supply, and comply with state mandates within 45 days.",no,"""current and future actions, goals, and budgets to reduce usage, increase supply"" is not grounded in the source.",Extrinsic Information,marginal
1557,Water Conservation Measures,model_E,"The Long Beach City Council unanimously approved a motion to request a report from the city manager within 45 days on the measures being taken to meet new water conservation requirements, and to ask the Water Department to provide a report on their efforts.",no,"1.The city name is not mentioned in the source, so ""Long Beach"" is not grounded in the source. 2. The source document does not include the voting and approval of the motion, so ""unanimously approved a motion"" is not factual.",Extrinsic Information,marginal
1558,Water Conservation Measures,model_E,Councilmembers expressed their support for the initiative and emphasized the importance of water conservation in the face of ongoing drought conditions.,no,"The source document does not cover this topic in detail and there is nothing about councilmembers expressing their support in the source. Also, ""drought conditions"" are not mentioned at all.",Extrinsic Information,marginal
1560,City Response to New Requirements,model_A,They also requested a report on the city's measures to meet new water conservation requirements.,no,This part of the document from the incomplete sentence that ends it.,Extrinsic Information,main
1562,Report on Water Department Efforts,Model-Extra,The water department should report on measures taken to reduce water usage by 20% and progress on their water conservation plan.,no,There is no explicit mention of the sentence in the source document.,Extrinsic Information,marginal
1563,Report on Water Department Efforts,model_A,The document is a request for a report from the Water Department on their efforts to meet new water conservation requirements.,no,"The main point of the document is about Item #25, ""a public walkways occupancy permit with sidewalk extension parklet for sidewalk dining at Hamburger Mary's located at 330""",Nuanced Meaning Shift,marginal
1564,Report on Water Department Efforts,model_B,"The report highlights the Water Department's efforts to meet the new water conservation requirements, including the implementation of water conservation programs and the development of new water sources.",no,"There is no explicit mention of ""highlighting the Water Department's efforts"" in the source document.",Extrinsic Information,marginal
1565,Report on Water Department Efforts,model_B,"It also discusses the challenges faced by the department in meeting these requirements, such as the need for additional infrastructure and the impact of climate change on water availability.",no,"There is no discussion of ""the challenges"" in the source document.",Extrinsic Information,marginal
1623,Data Collection and Analysis,model_E,The clerk reads items one through five into the record.,no,"The clerk is asked to read items two through five into the record, but the clerk does not read it given the info in the source.",Nuanced Meaning Shift,main
1624,Carp population in Alameda,Model-Extra,The city of Alameda held a public meeting to discuss climate change and the carp population.,no,"It is not clear from the source document that the meeting was held to discuss ""climate change and the carp population"" specifically, as it is only mentioned that the meeting was held at the Elks Lodge and it was ""about carp"" without further details.",Extrinsic Information,marginal
1627,Carp population in Alameda,model_A,The document discusses the carp population in Alameda and how to manage it.,no,"The information in this sentence is not grounded in the source. The only mention of carp is by one of the speakers in the context of a meeting they attended ""great city comment meeting at the Elks Lodge about carp"", but they only speak of the documents and how people did not read it.",Extrinsic Information,marginal
1628,Carp population in Alameda,model_A,It includes information on the impact of carp on the ecosystem and the potential for control measures.,no,"The information in this sentence is not grounded in the source. The only mention of carp is by one of the speakers in the context of a meeting they attended ""great city comment meeting at the Elks Lodge about carp"", but they only speak of the documents and how people did not read it.",Extrinsic Information,marginal
1629,Carp population in Alameda,model_A,A public meeting is scheduled to gather input on the plan.,no,"The information in this sentence is not grounded in the source. The only mention of carp is by one of the speakers in the context of a meeting they attended ""great city comment meeting at the Elks Lodge about carp"", but they only speak of the documents and how people did not read it.",Extrinsic Information,marginal
1630,Carp population in Alameda,model_B,"The document discusses the carp population in Alameda, including its history, impact on the ecosystem, and efforts to control its growth.",no,"The source document does not cover the points described in the sentence. The only mention of carp is by one of the speakers in the context of a meeting they attended ""great city comment meeting at the Elks Lodge about carp"", but they only speak of the documents and how people did not read it.",Extrinsic Information,marginal
1631,Carp population in Alameda,model_B,The city council is considering options for managing the carp population.,no,The source document does not cover the points described in the sentence.,Extrinsic Information,marginal
1632,Carp population in Alameda,model_C,The provided document discusses the issue of carp population in Alameda and the measures being taken to manage it.,no,"The source document does not cover the points described in the sentence. The only mention of carp is by one of the speakers in the context of a meeting they attended ""great city comment meeting at the Elks Lodge about carp"", but they only speak of the documents and how people did not read it.",Extrinsic Information,marginal
1633,Carp population in Alameda,model_C,The document highlights the ecological and economic impacts of carp and the challenges in controlling their population.,no,The source document does not cover the points described in the sentence.,Extrinsic Information,marginal
1634,Carp population in Alameda,model_C,"It also discusses the various methods being used to manage carp, including commercial fishing, biocontrol, and habitat restoration.",no,The source document does not cover the points described in the sentence.,Extrinsic Information,marginal
1635,Carp population in Alameda,model_C,The document concludes by emphasizing the need for continued research and collaboration to effectively manage carp in Alameda.,no,The source document does not cover the points described in the sentence.,Extrinsic Information,marginal
1645,Impact of carp on local ecosystem,model_A,"Three speakers addressed the council regarding matters not on the agenda, and one suggested that future draft plans be made more accessible to the public.",no,"The text indicates that three speakers wanted to address the council regarding matters not on the agenda, but only one speaker addressed the public.",Nuanced Meaning Shift,marginal
1646,Impact of carp on local ecosystem,model_B,"The document discusses the impact of carp on the local ecosystem, including their negative effects on water quality, habitat destruction, and competition with native species.",no,"The text briefly mentions carp, but does not elaborate about the impact of it on the local ecosystem.",Extrinsic Information,marginal
1647,Impact of carp on local ecosystem,model_B,It also outlines potential management strategies to reduce carp populations and mitigate their impacts.,no,There is no mention of potential management strategies to reduce carp populations in the text.,Extrinsic Information,marginal
1648,Impact of carp on local ecosystem,model_B,The document emphasizes the need for a collaborative approach involving multiple stakeholders and agencies to effectively address the issue.,no,The text does not mention a collaborating approach involving multiple stakeholders and agencies to effectively address the issue.,Extrinsic Information,marginal
1649,Impact of carp on local ecosystem,model_C,The document discusses the impact of carp on the local ecosystem.,no,"The text briefly mentions carp, but there is no mention of their impact on the local ecosystem.",Extrinsic Information,marginal
1651,Impact of carp on local ecosystem,model_D,"The document focuses on the impact of carp on the local ecosystem, including their destruction of native plants and habitat.",no,"Carp are briefly mentioned in the text, but there is no mention of the impact they have had on the local ecosytem.",Extrinsic Information,marginal
1652,Impact of carp on local ecosystem,model_D,It discusses the need for the city to address the issue and take steps to control the population of carp in local waterways.,no,The text does not mention the need or ways for the city to address and control the carp population.,Extrinsic Information,marginal
1653,Impact of carp on local ecosystem,model_E,"The impact of carp on local ecosystem is significant as they feed on aquatic plants and invertebrates, altering the food web and reducing biodiversity.",no,"The text briefly mentions carp, but does not mention their impact on the local ecosystem.",Extrinsic Information,marginal
1654,Impact of carp on local ecosystem,model_E,"Efforts to control carp populations through various methods have been unsuccessful, leading to concerns about the potential spread of carp into other bodies of water.",no,The text does not mention efforts to control carp populations.,Extrinsic Information,marginal
1656,Impact of carp on local ecosystem,Model-Extra,"She noted that at a recent meeting on the city's Climate Action Plan, most commenters had not read the full draft due to its length.",no,"The text mentions that ""most people hadn't read the document"", but there is no mention of the Climate Action Plan meeting.",Extrinsic Information,marginal
1657,Strategies for managing carp,model_A,"Summary: Strategies for managing carp include reducing their food sources, increasing predator populations, and using chemical and mechanical methods.",no,"The information presented in the sentence is not grounded in the source. The only mention of ""carp"" in the source is by a resident who says they attended a meeting at the Elks Lodge ""about carp"", but no further details or strategies of managing carp population are discussed.",Extrinsic Information,marginal
1658,Strategies for managing carp,model_A,The document also discusses the potential impacts of carp on the ecosystem and the need for continued research and monitoring.,no,"The information presented in the sentence is not grounded in the source. The only mention of ""carp"" in the source is by a resident who says they attended a meeting at the Elks Lodge ""about carp"", but no further details of carp population are discussed.",Extrinsic Information,marginal
1659,Strategies for managing carp,Model-Extra,The city held a meeting to discuss strategies for managing invasive carp.,no,"While the meeting ""about carp "" is mentioned in the source, it is not specifically stated that the purpose of the meeting was to ""discuss strategies for managing invasive carp"".",Extrinsic Information,marginal
1662,Strategies for managing carp,model_B,"The document discusses strategies for managing carp, but most attendees of the city comment meeting had not read the document and instead shared their feelings about climate change.",no,"The source document does not discuss ""strategies for managing carp"" in any detail. The only mention of ""carp"" is by a resident who says they attended a meeting at the Elks Lodge ""about carp""",Extrinsic Information,marginal
1664,Strategies for managing carp,model_C,"The document discusses strategies for managing carp, including measures to reduce carp populations, prevent their spread, and manage their impacts on ecosystems.",no,"The information presented in the sentence is not grounded in the source. The only mention of ""carp"" is by a resident who says they attended a meeting at the Elks Lodge ""about carp""",Extrinsic Information,marginal
1665,Strategies for managing carp,model_C,"Strategies include habitat restoration, chemical and biological control, and commercial harvesting.",no,"The information presented in the sentence is not grounded in the source. The only mention of ""carp"" is by a resident who says they attended a meeting at the Elks Lodge ""about carp""",Extrinsic Information,marginal
1666,Strategies for managing carp,model_C,The document also addresses the potential risks and benefits of different management approaches and considers the social and economic implications of carp management.,no,"The information presented in the sentence is not grounded in the source. The only mention of ""carp"" is by a resident who says they attended a meeting at the Elks Lodge ""about carp"", but no further details of carp population are discussed.",Extrinsic Information,marginal
1670,Strategies for managing carp,model_E,The provided document discusses strategies for managing carp in Alameda.,no,"The source document does not discuss ""strategies for managing carp"" in any detail. The only mention of ""carp"" is by a resident who says they attended a meeting at the Elks Lodge ""about carp"".",Extrinsic Information,marginal
1671,Strategies for managing carp,model_E,"It highlights the importance of reducing the number of carp in the environment, and suggests several methods for achieving this goal, such as controlling the release of fish into the wild, using fish traps, and implementing catch and release programs.",no,"The information presented in the sentence is not grounded in the source. The only mention of ""carp"" is by a resident who says they attended a meeting at the Elks Lodge ""about carp"", but no further details of carp population are discussed.",Extrinsic Information,marginal
1696,Market Street Neighborhood District,Model-Extra,Recommendations will aim to tie in with other city investments like the Los Cerritos Wetlands Project.,no,"""Los Cerritos"" is not mentioned in the source document, the project mentioned is ""Forest Wetlands Project"".",Mis-Referencing,main
1703,Market Street Neighborhood District,model_D,The provided document is a report from the city manager regarding a sustainable neighborhood assessment for the historic Virginia Village Market Street Neighborhood District.,no,"""The provided document is a report from the city manager"" is not accurate, the source document consists of the city manager presenting a report and other speakers commenting.",Nuanced Meaning Shift,main
1725,Sustainable Neighborhood Assessment,model_E,The document is a report from the city manager regarding a grant opportunity from Global Green for professional technical assistance to conduct a sustainable neighborhood assessment for the historic Virginia Village Market Street Neighborhood District 8.,no,"""The provided document is a report from the city manager"" is not accurate, the source document consists of the city manager presenting a report and other speakers commenting.",Nuanced Meaning Shift,main
1770,Opposition to Proposition Six,model_B,"The City Council is recommending to oppose Proposition Six, which would repeal gas and vehicle taxes.",no,"The document says that the proposition would have a devastating effect on all the projects, but it does not state that it ""would repeal gas and vehicle taxes."" Although ""the voter approval for future gas and vehicle taxes and 2017 tax repeal initiative"" is mentioned, the causal relationship between Proposition 6 and repeal of taxes is not stated clearly.",Reasoning Error,main
1771,Opposition to Proposition Six,model_B,"They argue that these taxes are crucial for funding important infrastructure projects in the city, such as the replacement Desmond Bridge and the reconstruction of Pacific Coast Highway.",no,"In the document, ""SB One"" is discussed to be important for funding infrastructure projects, but ""gas and vehicle taxes"" in particular are not said to be curtail for these projects.",Reasoning Error,main
1773,Opposition to Proposition Six,model_C,"The City Council of Long Beach is discussing opposing Proposition six, which would repeal the gas and vehicle taxes approved by voters and reduce the state's annual transportation funding by $4 billion.",no,There is no information about the state's annual transportation funding being reduced by $4 billion.,Extrinsic Information,main
1780,Opposition to Proposition Six,Model-Extra,"The city council voted to oppose Proposition Six, which would repeal the gas tax increase and vehicle fees from SB1.",no,It is gas and vehicles taxes.,Nuanced Meaning Shift,main
1783,Opposition to Proposition Six,model_E,"The document discusses the City Council's opposition to Proposition Six, which would repeal gas and vehicle taxes in California.",no,"It is not stated that ""gas and vehicle taxes"" would be repealed on a state level (California), it could be discussed on a county level, for example.",Extrinsic Information,main
1791,Rent Increase Regulations,model_B,Document summarizes ordinance amending Alameda Municipal Code to add article 14 to Chapter 6 for rent increase review.,no,"The document does not summarize this, and mentions it only briefly at the end.",Extrinsic Information,marginal
1792,Rent Increase Regulations,model_B,"The article establishes guidelines for rent increase notifications, just cause for rent increases, and dispute resolution process.",no,"The document only specifies review of rent increases, but does not mention any guidelines.",Extrinsic Information,marginal
1799,Rent Increase Regulations,model_D,"The ordinance proposes new regulations on rent increases in Alameda, including just cause eviction protections and rent increase thresholds based on the Consumer Price Index.",no,The document does not mention these regulations.,Extrinsic Information,marginal
1800,Rent Increase Regulations,model_E,"The document is a proposed ordinance that would amend the Alameda Municipal Code by adding Article 14 to Chapter 6, concerning review of rent increases.",no,The description of the document is wrong.,Extrinsic Information,marginal
1801,Rent Increase Regulations,model_E,"The new article would establish a rent review program for multifamily dwellings, requiring landlords to provide written notice of any proposed rent increase and allowing tenants to request a rent hearing.",no,The document does not specify this.,Extrinsic Information,marginal
1802,Review Process for Rent Increases,model_A,"The document outlines a review process for rent increases in Alameda, California, which includes a threshold for when increases require review and a process for submitting and reviewing rent increase requests.",no,"There is no mention of ""a process for submitting and reviewing rent increase requests"" in the source document.",Extrinsic Information,marginal
1803,Review Process for Rent Increases,model_A,"The review process involves the Rent Stabilization Board, landlords, and tenants, and may include public hearings.",no,"Rent Stabilization Board, landlords, tenants, and public hearings are not mentioned in the document.",Extrinsic Information,marginal
1804,Review Process for Rent Increases,model_A,The goal of the process is to ensure that rent increases are reasonable and do not harm tenants or the community.,no,The goal of the process is not mentioned in the document.,Extrinsic Information,marginal
1805,Review Process for Rent Increases,model_B,"This document discusses a proposed amendment to the Alameda Municipal Code to add Article 14 to Chapter 6, which establishes a review process for rent increases.",no,"The document does not discuss the proposed amendment, it barely mentioned it.",Extrinsic Information,marginal
1806,Review Process for Rent Increases,model_B,"The process includes a 6% cap on annual rent increases, a 12-month notice requirement, and a review board to hear appeals from tenants.",no,All details in the sentence are not supported by the document.,Extrinsic Information,marginal
1813,Review Process for Rent Increases,model_C,"The article establishes guidelines for determining just cause for rent increases, sets limits on the amount and frequency of rent increases, and outlines a process for tenants to appeal rent increases to the Rent Review Advisory Committee.",no,Those guidelines are not mentioned in the document.,Extrinsic Information,marginal
1814,Review Process for Rent Increases,model_C,The article aims to protect tenants from excessive rent increases and ensure fair and consistent treatment.,no,This is not the aim of the article. It is marginally mentioned in the article.,Nuanced Meaning Shift,marginal
1816,Review Process for Rent Increases,model_D,The amendment requires landlords to provide tenants with a 90-day notice prior to increasing rent and allows the city to impose a rent control ordinance.,no,The whole sentence cannot be supported by the document.,Extrinsic Information,marginal
1817,Review Process for Rent Increases,model_D,The amendment also establishes a review process for rent increases and provides for penalties for non-compliance.,no,The whole sentence cannot be supported by the document.,Extrinsic Information,marginal
1824,Impact on Tenant Protection,model_B,The article would establish a review process for rent increases above a certain threshold and provide tenant protection.,no,The text does not include information about what the article would establish in terms of a review process for rent increases.,Extrinsic Information,marginal
1825,Impact on Tenant Protection,model_B,"The new law would apply to all rent increases, regardless of the reason for the increase, and would establish a process for reviewing rent increases to ensure they are reasonable and not retaliatory.",no,The text does not mention what the new law would apply to what it would establish.,Extrinsic Information,marginal
1826,Impact on Tenant Protection,model_B,The goal of the new law is to help protect tenants from unjustified rent increases and ensure that landlords are held accountable for their actions.,no,The text does not mention the goal of the new law related to rent increases and landloards.,Extrinsic Information,marginal
1828,Impact on Tenant Protection,model_C,The purpose of the amendment is to protect tenants from excessive rent increases by requiring landlords to justify any rent increase over 5% in a year.,no,The text does not include information about the purpose of the amendment.,Extrinsic Information,marginal
1829,Impact on Tenant Protection,model_C,The ordinance will enable the city to monitor rental housing conditions and ensure that tenants are not being exploited.,no,The text does not mention the city's involvement in the ordinance.,Extrinsic Information,marginal
1832,Impact on Tenant Protection,model_D,There is no impact on the general fund.,no,"It is the opinion of Speaker 2, and not a fact, that continuing to use consulting services does not have an impact on the general fun.",Stating Opinion as Fact,marginal
1837,Impact on Tenant Protection,Model-Extra,"The council approved the contract 4-1, enabling continued tenant protections through efficient permit review.",no,"The text indicates that the council approved the contract 4-1 for hiring CSG consulting services, but they did not vote on tenant protections.",Reasoning Error,marginal
1839,Impact on Tenant Protection,model_E,The impact on tenant protection is mentioned as part of the discussion.,no,The text does not mention the impact on tenant protection.,Extrinsic Information,marginal
1841,Eagle Scout honor,model_A,Mayor Ashcraft attended their Eagle Court of Honor on June 26.,no,"Mayor Ashcraft did not attend the Eagle Court of Honor. According to the document, Councilmember Desai attended the event on behalf of the Mayor.",Mis-Referencing,main
1843,Eagle Scout honor,model_B,Councilmember Harris also spoke about the importance of the Boy Scout Troop 73 in Alameda.,no,"In the document, Mr. Harris does not present any information about Boy Scout Troop 73. He addresses an upcoming event, Relay for Life, and shares information about Nathaniel Basco's Eagle Scout Project.",Extrinsic Information,main
1845,Eagle Scout honor,model_B,"Nathaniel Basco, a Boy Scout, came up with his Eagle Scout project, a piano for the community to share, which will be available for three weeks at Nob Hill before being moved to a permanent location.",no,"It is not stated as a fact that the piano will be moved to a permanent location. Speaker 0 says that he thinks ""it's going to be moved."" Other statements in this sentence are factually consistent.",Stating Opinion as Fact,main
1846,Eagle Scout honor,model_C,"During a special city council meeting, Councilmember Desai entered into the record the names of eight young Alameda residents who earned their Eagle Scout rank by completing a minimum of 25 community activities, with one individual completing as many as 45.",no,"The document states that Mr. Desai wants to enter the names into the record, and he hopes that it will become a practice, but it is unclear whether he actually enters the names into the record during the meeting. The council may have a record keeper for such tasks.",Tense/Modality Error,main
